 347.500   3.698E-04   1.500E-05  -1.195E-05   3.334E-06  -3.185E-06   3.334E-06  -3.185E-06
 352.500   6.227E-04   1.892E-05  -1.502E-05   5.732E-06  -5.506E-06   5.732E-06  -5.506E-06
 357.500   7.604E-04   2.049E-05  -1.589E-05   6.835E-06  -6.463E-06   6.835E-06  -6.463E-06
 362.500   8.507E-04   1.993E-05  -1.569E-05   7.338E-06  -6.917E-06   7.338E-06  -6.917E-06
 367.500   9.129E-04   2.217E-05  -1.549E-05   7.519E-06  -7.103E-06   7.519E-06  -7.103E-06
 372.500   9.566E-04   1.970E-05  -1.476E-05   7.502E-06  -7.153E-06   7.502E-06  -7.153E-06
 377.500   9.847E-04   1.945E-05  -1.473E-05   7.323E-06  -6.853E-06   7.323E-06  -6.853E-06
 382.500   9.990E-04   1.809E-05  -1.411E-05   6.975E-06  -6.741E-06   6.975E-06  -6.741E-06
 387.500   1.007E-03   1.707E-05  -1.250E-05   6.778E-06  -6.227E-06   6.786E-06  -6.227E-06
 392.500   1.008E-03   1.372E-05  -1.215E-05   6.425E-06  -5.873E-06   6.634E-06  -5.873E-06
 397.500   1.000E-03   1.488E-05  -1.037E-05   6.018E-06  -5.486E-06   6.329E-06  -5.486E-06
 402.500   9.918E-04   1.188E-05  -1.018E-05   5.611E-06  -5.115E-06   5.939E-06  -5.115E-06
 407.500   9.751E-04   1.251E-05  -8.495E-06   5.273E-06  -4.687E-06   5.716E-06  -4.687E-06
 412.500   9.589E-04   1.060E-05  -7.908E-06   4.822E-06  -4.292E-06   5.389E-06  -4.292E-06
 417.500   9.384E-04   9.366E-06  -6.546E-06   4.329E-06  -3.948E-06   5.009E-06  -3.948E-06
 422.500   9.156E-04   8.779E-06  -5.597E-06   4.107E-06  -3.486E-06   4.759E-06  -3.520E-06
 427.500   8.957E-04   7.002E-06  -5.150E-06   3.723E-06  -3.141E-06   4.446E-06  -3.264E-06
 432.500   8.726E-04   6.787E-06  -4.805E-06   3.379E-06  -2.804E-06   4.124E-06  -2.980E-06
 437.500   8.464E-04   4.877E-06  -3.823E-06   3.034E-06  -2.486E-06   3.805E-06  -2.694E-06
 442.500   8.220E-04   4.477E-06  -2.962E-06   2.715E-06  -2.165E-06   3.503E-06  -2.323E-06
 447.500   7.960E-04   3.759E-06  -2.358E-06   2.418E-06  -1.876E-06   3.168E-06  -1.918E-06
 452.500   7.709E-04   4.319E-06  -1.897E-06   2.291E-06  -1.616E-06   3.022E-06  -1.616E-06
 457.500   7.480E-04   2.345E-06  -1.640E-06   1.973E-06  -1.370E-06   2.633E-06  -1.542E-06
 462.500   7.228E-04   3.223E-06  -1.152E-06   1.699E-06  -1.104E-06   2.526E-06  -1.367E-06
 467.500   6.984E-04   1.245E-06  -2.662E-06   1.532E-06  -9.662E-07   2.277E-06  -1.338E-06
 472.500   6.737E-04   1.016E-06  -1.064E-06   1.311E-06  -7.666E-07   2.027E-06  -1.103E-06
 477.500   6.495E-04   2.284E-06  -9.801E-07   1.209E-06  -5.498E-07   1.857E-06  -8.600E-07
 482.500   6.274E-04   2.189E-06  -1.126E-06   1.001E-06  -4.534E-07   1.625E-06  -8.249E-07
 487.500   6.037E-04   1.600E-06  -7.841E-07   1.034E-06  -3.345E-07   1.567E-06  -5.985E-07
 492.500   5.838E-04   1.266E-06  -1.624E-06   9.588E-07  -3.214E-07   1.393E-06  -4.524E-07
 497.500   5.617E-04   1.767E-06  -2.730E-06   9.275E-07  -3.737E-07   1.257E-06  -3.818E-07
 502.500   5.413E-04   1.604E-06  -9.116E-06   8.621E-07  -5.441E-07   1.115E-06  -5.441E-07
 507.500   5.202E-04   2.462E-06  -1.121E-05   9.390E-07  -6.011E-07   1.029E-06  -6.011E-07
 512.500   5.019E-04   2.044E-06  -9.884E-06   9.520E-07  -6.796E-07   9.520E-07  -6.796E-07
 517.500   4.828E-04   2.399E-06  -9.264E-06   9.973E-07  -7.655E-07   9.973E-07  -7.655E-07
 522.500   4.654E-04   2.232E-06  -7.669E-06   1.031E-06  -8.321E-07   1.031E-06  -1.656E-06
 527.500   4.476E-04   2.500E-06  -4.690E-06   9.827E-07  -9.404E-07   9.827E-07  -6.886E-06
 532.500   4.302E-04   2.589E-06  -3.345E-06   1.123E-06  -9.874E-07   1.123E-06  -6.639E-06
 537.500   4.149E-04   2.615E-06  -7.720E-06   1.088E-06  -2.551E-06   1.088E-06  -1.004E-05
 542.500   3.975E-04   3.275E-06  -6.132E-06   1.114E-06  -1.807E-06   1.835E-06  -9.580E-06
 547.500   3.850E-04   2.620E-06  -8.866E-06   1.167E-06  -6.017E-06   1.167E-06  -6.618E-06
 552.500   3.675E-04   3.610E-06  -6.502E-06   1.204E-06  -5.980E-06   1.204E-06  -6.599E-06
 557.500   3.560E-04   2.685E-06  -5.353E-06   1.234E-06  -6.134E-06   1.234E-06  -6.781E-06
 562.500   3.413E-04   2.998E-06  -3.300E-06   1.261E-06  -6.290E-06   1.261E-06  -6.966E-06
 567.500   3.283E-04   3.130E-06  -3.669E-06   1.288E-06  -6.246E-06   1.288E-06  -6.940E-06
 572.500   3.167E-04   2.833E-06  -3.912E-06   1.342E-06  -5.536E-06   1.342E-06  -6.218E-06
 577.500   3.041E-04   2.944E-06  -3.206E-06   1.356E-06  -1.334E-06   1.356E-06  -1.334E-06
 582.500   2.921E-04   3.373E-06  -3.596E-06   1.371E-06  -1.659E-06   1.371E-06  -3.454E-06
 587.500   2.805E-04   3.237E-06  -7.809E-06   1.384E-06  -5.172E-06   4.159E-06  -5.859E-06
