    0.1100 0.1110 0.1120 0.1130 0.1140 0.1150 0.1160 0.1170 0.1180 0.1190 0.1200 0.1210 0.1220 0.1230 0.1240 0.1250 0.1260 0.1270 0.1280 0.1290 0.1300 
130 498.358 509.881 521.916 533.331 544.436 555.663 568.880 581.944 591.865 602.905 617.785 631.515 647.170 659.191 675.518 690.291 702.183 710.354 721.193 733.208 743.538 
131 483.057 494.044 503.162 513.028 523.646 535.550 545.760 557.107 570.902 581.826 595.043 607.923 621.655 634.701 649.702 665.144 677.886 686.027 694.443 705.672 717.809 
132 465.036 474.391 483.437 494.404 502.827 513.908 525.191 537.656 549.979 559.894 572.856 584.778 598.964 612.468 627.351 638.161 654.750 659.172 668.360 679.194 691.607 
133 446.164 456.677 467.277 475.014 487.075 494.985 505.476 517.215 530.041 541.622 552.205 565.220 577.857 588.496 605.606 617.294 627.870 634.479 646.841 657.747 665.472 
134 431.827 440.166 448.982 458.417 467.444 478.722 488.262 498.958 509.988 521.372 531.182 543.021 557.253 567.745 581.754 593.822 605.161 612.577 622.468 632.571 643.877 
135 414.990 423.169 431.551 440.800 450.528 460.242 471.168 480.956 492.219 501.448 514.148 525.925 535.220 545.771 560.281 573.989 583.033 590.396 599.091 608.925 620.358 
136 400.349 408.900 416.822 426.907 433.725 442.736 452.913 463.644 474.673 483.144 493.780 505.446 516.369 526.868 539.188 551.497 563.759 568.362 578.201 589.136 596.164 
137 385.527 393.593 401.766 410.044 418.267 426.996 437.178 446.794 457.572 467.230 476.259 486.469 497.406 507.990 521.173 531.834 542.413 549.790 557.681 564.936 576.394 
138 371.959 379.807 386.256 394.531 404.229 412.738 421.478 431.227 439.837 449.899 459.187 469.533 480.148 492.506 503.405 512.823 523.193 529.700 536.454 548.014 555.996 
139 358.020 365.887 372.439 380.962 389.360 396.681 407.396 415.666 424.758 432.937 443.398 453.058 463.350 472.614 483.045 495.500 504.027 511.902 519.017 529.089 536.713 
140 344.601 353.722 360.100 367.597 375.623 383.445 391.895 401.023 408.636 417.329 427.000 438.034 446.682 455.561 467.668 477.391 487.082 493.770 500.965 508.657 517.522 
141 333.186 340.495 347.047 355.491 361.011 370.832 377.224 385.956 394.697 403.601 413.191 421.525 431.098 439.778 451.405 461.707 469.537 476.525 484.794 491.795 500.457 
142 321.837 328.179 334.232 341.069 348.950 356.965 366.300 373.246 381.722 389.411 397.879 406.426 415.850 424.681 435.680 445.378 453.723 460.625 467.291 474.783 482.521 
143 310.289 317.093 324.047 329.926 337.409 344.367 352.413 360.516 368.738 375.553 383.277 391.984 402.490 412.135 419.341 429.996 437.938 442.956 451.507 458.665 464.471 
144 299.873 305.560 313.133 317.915 325.241 332.242 338.666 347.417 355.035 363.327 372.524 379.021 387.825 396.061 406.949 415.125 422.245 429.234 435.923 442.869 451.267 
145 289.594 295.025 300.359 307.339 314.253 321.092 327.827 335.326 343.236 349.684 358.839 365.859 375.867 382.917 390.949 400.532 409.689 414.657 420.159 427.374 435.286 
146 278.990 285.509 291.042 297.153 303.690 309.991 316.233 324.227 330.784 338.028 345.496 354.394 361.510 369.733 378.711 388.324 394.889 399.936 406.497 412.030 422.477 
